Aname,x,y
中山北路四号桥,121.435669,31.252978
徐浦大桥,121.468982,31.127417
江宁路桥,121.438149,31.248678
宛平南路桥,121.456711,31.177228
永和路桥,121.430631,31.286627
原平路桥,121.429622,31.298993
白遗桥,121.434188,31.286847
昌化路桥,121.443891,31.249791
长寿路桥,121.44764,31.245107
安远桥,121.449953,31.24318
中扬湖桥,121.437383,31.293913
康宁路桥,121.434187,31.307276
龙耀路隧道,121.471646,31.166294
大洋桥,121.449532,31.253229
北横通道-恒丰路出入口,121.451619,31.245647
普济路桥,121.452789,31.241483
万荣路地道,121.443734,31.277447
恒丰路立交桥,121.452448,31.247836
昌平路桥,121.454782,31.239514
延长路桥,121.447955,31.267864
彭越浦桥,121.450937,31.256325
耀龙路桥,121.475313,31.161558
洛川路桥,121.449468,31.264497
三泉路地道,121.441185,31.300769
打浦路隧道,121.470217,31.190981
恒丰路桥,121.458769,31.238394
谈家桥,121.453069,31.260675
秣陵路桥,121.45984,31.247608
川杨河桥,121.481671,31.163004
大统路地道,121.459669,31.249105
天目中路立交桥,121.461972,31.244591
中环共和新路立交桥,121.450044,31.293062
徐家汇路地道,121.47275,31.208449
彭浦立交,121.448906,31.303199
延安东路立交桥,121.469303,31.224392
新闸桥,121.465974,31.240859
鲁班路立交,121.477618,31.197383
内环共和新路立交桥,121.461534,31.260795
卢浦大桥,121.480073,31.191243
广中路桥,121.461746,31.27966
西藏北路地道,121.470388,31.247289
西藏路桥,121.472255,31.240155
灵石路桥,121.461819,31.284707
株洲路桥,121.465462,31.274191
北横通道-浙江北路出入口,121.473344,31.245238
走马塘桥,121.460943,31.300266
浙江路桥,121.476553,31.241434
上南路川杨河桥,121.497083,31.165982
八字桥,121.470245,31.271858
福建路桥,121.478882,31.240281
杨思桥,121.499143,31.162116
奎照路庐泾浦桥,121.463944,31.299925
二号桥,121.463493,31.306133
张贵桥,121.465507,31.30016
临汾路桥,121.463523,31.310792
青云路桥,121.475954,31.265472
河南路桥,121.483007,31.241929
汾西路桥,121.465573,31.313512
延安东路隧道,121.486853,31.230899
江杨南路立交桥,121.467734,31.306248
西藏南路隧道,121.498979,31.187347
复兴东路地道,121.49021,31.221708
凉城路桥,121.471093,31.301246
陈士安桥,121.491699,31.224893
横浜桥,121.483066,31.258876
广中路地道,121.479166,31.275509
乍浦路桥,121.487771,31.244224
南何支线铁路立交桥,121.471742,31.306647
白莲泾路桥,121.502287,31.189141
江杨北路桥,121.459888,31.354368
邢家桥,121.485033,31.257211
外白渡桥,121.49006,31.242896
嘉兴路桥,121.487354,31.255023
水电路市河桥,121.476376,31.300063
外滩隧道,121.490199,31.247123
万安路斜塘河桥,121.476527,31.300696
中山北一路桥,121.482529,31.279416
内环南浦大桥立交桥,121.500792,31.20857
车站南路桥,121.478946,31.294535
车站北路沙泾港桥,121.478315,31.297159
丰镇路桥,121.476684,31.30446
哈尔滨路二号桥,121.490169,31.255794
余杭路桥,121.4914,31.251379
汉阳路桥,121.492317,31.250099
延安东路隧道南线,121.496052,31.235825
海宁路桥,121.492002,31.253346
奎照路沙泾港桥,121.480209,31.299699
拓皋路桥,121.49172,31.255323
人民路隧道,121.498699,31.229838
北横通道-新建路出入口（西）,121.492992,31.253411
南浦大桥,121.50552,31.20538
复兴东路隧道(上层),121.501632,31.221622
通州路桥,121.493414,31.259085
祥德路桥,121.490862,31.271039
中山南路地道,121.505379,31.217605
四平路一号桥,121.493396,31.267752
大柏树立交桥,121.48944,31.29253
新建路隧道,121.501638,31.24743
复兴东路隧道(下层),121.508973,31.224158
仁德路桥,121.489646,31.304417
