node,typecode,x,y,id,name,adname,roadname,roadname_origin,桥隧类型
11,190307,121.361117,31.216229,BZAFQZ02GA,新渔港桥,长宁区,新渔港桥,淞虹路,梁桥
12,190307,121.370248,31.187424,BZAFQZ02HE,新泾港桥,长宁区,延安西路,延安西路,梁桥
13,190307,121.386268,31.125625,B0FFGQB418,淀浦河桥,闵行区,虹莘路,虹莘路,梁桥
16,190307,121.37332,31.184734,BZAFQZ02IS,金汇路桥,闵行区,金汇路桥,金汇路,梁桥
17,190307,121.383684,31.148021,B0FFGQ9O06,龙茗路桥,闵行区,龙茗路桥,龙茗路,梁桥
18,190307,121.369808,31.202629,BZAFQZ02GR,野奴泾桥,长宁区,剑河路,剑河路,梁桥
19,190307,121.379125,31.167623,BZAFQZ02II,金汇路蒲汇塘桥,闵行区,龙茗路,龙茗路,梁桥
20,190307,121.369413,31.206597,BZAFQZ02FB,剑河路新泾港桥,长宁区,剑河路新泾港桥,剑河路,梁桥
21,190307,121.389884,31.12776,B0IA316C2Q,龙茗路淀浦河桥,闵行区,龙茗路,龙茗路,梁桥
22,190307,121.367916,31.215298,BZAFQZ02HC,剑河路新渔浦桥,长宁区,剑河路,剑河路,梁桥
24,190307,121.371442,31.208188,BZAFQZ02HW,仙霞路桥,长宁区,仙霞路桥,仙霞西路,梁桥
26,190307,121.38492,31.162413,B00155PUGZ,南新泾港桥,闵行区,南新泾港桥,田林路,梁桥
27,190307,121.389949,31.143441,B0HDLZVUHH,新泾港桥,闵行区,平吉路,平吉路,梁桥
28,190307,121.366446,31.235102,BZAFQZ02GJ,外浜桥,普陀区,外浜桥,祁连山南路,梁桥
29,190307,121.373133,31.211661,BZAFQZ02HU,泉口路新泾港桥,长宁区,泉口路新泾港桥,泉口路,梁桥
30,190307,121.374922,31.214489,BZAFQZ02HV,新渔路新泾港桥,长宁区,新渔路,新渔路,梁桥
31,190307,121.398225,31.127537,B0FFGDRSWX,沪闵路淀浦河桥,闵行区,沪闵路,沪闵路,梁桥
32,190307,121.375607,31.216378,BZAFQZ02HM,天山西路桥,长宁区,天山西路,天山西路,梁桥
33,190307,121.375351,31.219514,BZAFQZ02F7,北翟路一号桥,长宁区,北翟路,北翟路,梁桥
34,190307,121.373904,31.226574,BZAFQZ02GH,云岭西路桥,普陀区,云岭西路桥,云岭西路,梁桥
36,190307,121.376512,31.220675,B00155P40S,真北路桥,长宁区,真北路,真北路,梁桥
38,190307,121.397127,31.152309,B0FFGQ9ROD,漕河泾港桥,闵行区,漕河泾港桥,莲花路,梁桥
39,190307,121.36422,31.282385,BZAGQZ01G8,常和路桥,普陀区,常和路,常和路,梁桥
40,190307,121.391205,31.179056,B0FFH02F5C,野奴泾桥,闵行区,吴中路,吴中路,梁桥
42,190307,121.380324,31.224538,B00155P53V,云岭东路木渎港桥,普陀区,云岭东路,云岭东路,梁桥
44,190307,121.379647,31.228347,BZAFR0025R,同普路木渎港桥,普陀区,同普路,同普路,梁桥
45,190307,121.406447,31.125315,B00155PUH2,莲花路淀浦河桥,闵行区,莲花南路,莲花南路,梁桥
46,190307,121.377785,31.238527,BZAFQZ02I0,真光路桥,普陀区,真光路,真光路,梁桥
49,190307,121.407045,31.133862,BZAER0011U,莲花路立交桥,闵行区,莲花路立交桥,梅陇西路,梁桥
51,190307,121.386233,31.219064,B0FFF9R3JD,泸定路桥,长宁区,泸定路桥,泸定路,梁桥
54,190307,121.384111,31.23201,B0FFGQ4XPT,金沙江路桥,普陀区,金沙江路桥,金沙江路,梁桥
56,190307,121.405983,31.153706,B0FFGQ6FU3,虹梅路七号桥,闵行区,虹梅路,虹梅路,梁桥
57,190307,121.397557,31.188195,BZAFR00216,上澳塘港桥,闵行区,上澳塘港桥,红松东路,梁桥
59,190307,121.400116,31.182949,B0FFH02G0P,上岙塘桥,闵行区,吴中路,吴中路,梁桥
61,190307,121.411312,31.145915,BZAER001AK,桂果路桥,徐汇区,桂江路,桂江路,梁桥
62,190307,121.40864,31.156811,B0FFGQ79MR,桂平路桥,徐汇区,桂平路,桂平路,梁桥
63,190307,121.413935,31.137327,B0FFGQ762I,虹梅路九号桥,徐汇区,虹梅南路,虹梅南路,梁桥
64,190307,121.406399,31.168313,BZAFR0021X,田林路桥,徐汇区,田林路桥,田林路,梁桥
65,190307,121.407754,31.163496,B0FFGQ72FW,漕宝路三号桥,徐汇区,漕宝路三号桥,漕宝路,梁桥
66,190307,121.405946,31.172255,B0FFH02EZV,西上澳塘港桥,徐汇区,宜山路,宜山路,梁桥
67,190307,121.388961,31.24048,B00155P532,梅川路桥,普陀区,梅川路,梅川路,梁桥
68,190307,121.405653,31.175635,B0FFGQ96Y9,钦江路桥,徐汇区,钦江路,钦江路,梁桥
69,190307,121.413293,31.14634,B0FFH02DGZ,桂平支路桥,徐汇区,桂平支路,桂平支路,梁桥
71,190307,121.392018,31.232932,B0FFGQ8UWR,中江路桥,普陀区,中江路,中江路,梁桥
72,190307,121.414746,31.146502,B0FFGQAR8Y,百花街桥,徐汇区,百花街桥,百花街,梁桥
74,190307,121.40543,31.188883,B0FFGQ7K1Z,诸家浜桥,闵行区,红松东路,红松东路,梁桥
75,190307,121.421583,31.127201,B00155P884,梅浦桥,徐汇区,梅浦桥,虹梅南路,梁桥
76,190307,121.412545,31.163157,B0FFGQ9EIW,虹漕南路桥,徐汇区,虹漕南路桥,虹漕南路,梁桥
77,190307,121.391871,31.246229,BZAFR001XG,朝阳河桥,普陀区,武宁路,武宁路,梁桥
78,190307,121.419938,31.14863,B0FFGQ72G7,西牌楼桥,徐汇区,沪闵路,沪闵路,梁桥
79,190307,121.398678,31.234999,B0FFGQ4Z1E,怒江路桥,普陀区,怒江路桥,怒江路,梁桥
80,190307,121.385783,31.286221,BZAGR001SN,红祁河桥,普陀区,红祁河桥,祁安路,梁桥
81,190307,121.427347,31.124717,BZAER001F1,华泾港桥,闵行区,华泾港桥,莘朱路,梁桥
82,190307,121.386835,31.283176,B0FFGQA5OV,古浪路张泾河桥,普陀区,古浪路,古浪路,梁桥
83,190307,121.420884,31.152551,B0H1HRUH5U,桂林西街桥,徐汇区,桂林西街,桂林西街,梁桥
84,190307,121.420852,31.154513,BZAER0013T,浦北路桥,徐汇区,浦北路,浦北路,梁桥
85,190307,121.386029,31.290009,BZAGR001SO,新河南浜桥,普陀区,祁安路,祁安路,梁桥
86,190307,121.398808,31.24154,B0FFGQA4LB,梅岭北路桥,普陀区,梅岭北路,梅岭北路,梁桥
87,190307,121.414214,31.18219,BZAFR00044,蒲汇塘桥,徐汇区,蒲汇塘桥,桂林路,梁桥
88,190307,121.420361,31.158452,B0FFH02FJQ,钦州南路桥,徐汇区,钦州南路桥,钦州南路,梁桥
89,190307,121.420965,31.156909,B0FFGQ563T,桂林东街桥,徐汇区,桂林东街,桂林东街,梁桥
90,190307,121.399172,31.242399,BZAFR0025Q,杨柳青路桥,普陀区,杨柳青路,杨柳青路,梁桥
91,190307,121.419687,31.162788,BZAER001FK,冠生园路桥,徐汇区,冠生园路,冠生园路,梁桥
92,190307,121.393193,31.271485,BZAGR001SS,八字桥,普陀区,桃浦西路,桃浦西路,梁桥
93,190307,121.38841,31.291332,B0FFGQ97JD,金光河桥,普陀区,金光河桥,连亮路,梁桥
94,190307,121.392309,31.27636,BZAGR001SR,武威东路桃浦河桥,普陀区,武威东路,武威东路,梁桥
95,190307,121.391633,31.27924,BZAGR001SQ,小宅浜桥,普陀区,小宅浜桥,桃浦西路,梁桥
96,190307,121.39185,31.278399,B0FFGQ5KJM,真大路1号桥,普陀区,真大路,真大路,梁桥
97,190307,121.381628,31.318181,B0FFGQ4W1Z,五号桥,宝山区,祁连山路,祁连山路,梁桥
98,190307,121.400603,31.244824,BZAFR002GH,武宁路桃浦河桥,普陀区,武宁路,武宁路,梁桥
99,190307,121.394396,31.269181,B00155POGG,桃浦桥,普陀区,桃浦桥,真南路,梁桥
100,190307,121.400468,31.248443,BZAGR001TB,北石路桥,普陀区,北石路桥,北石路,梁桥
101,190307,121.396411,31.264609,B0FFGQ8QY8,杨家桥,普陀区,交通路,交通路,梁桥
104,190307,121.379325,31.333063,BZAHQZ012G,顾陈路桥,宝山区,顾陈路,顾陈路,梁桥
105,190307,121.392434,31.282518,B0FFGQ5J8R,金皇庙桥,普陀区,金皇庙桥,古浪路,梁桥
106,190307,121.404033,31.23818,B0FFGQAXNB,杏山路北桥,普陀区,杏山路北桥,杏山路,梁桥
107,190307,121.40092,31.25073,B0FFH02G0J,铜川路桥,普陀区,铜川路,铜川路,梁桥
108,190307,121.405953,31.234453,B0FFGQ8P2Y,桐柏路桥,普陀区,桐柏路桥,桐柏路,梁桥
109,190307,121.428735,31.145934,B0FFI2QPS8,张家塘港桥,徐汇区,老沪闵路,老沪闵路,梁桥
110,190307,121.404629,31.23996,B0FFGQ8TGS,兰溪路西桥,普陀区,兰溪路,兰溪路,梁桥
112,190307,121.425483,31.163514,BZAER0014S,柳州路桥,徐汇区,柳州路桥,柳州路,梁桥
113,190307,121.405661,31.241374,B0FFGQ8JS2,花溪路桥,普陀区,花溪路桥,花溪路,梁桥
114,190307,121.407119,31.236069,B0FFGQ6Q9W,杏山路南桥,普陀区,杏山路南桥,杏山路,梁桥
115,190307,121.393099,31.290954,BZAGR002DR,周金桥,普陀区,连亮路,连亮路,梁桥
116,190307,121.406919,31.240639,BZAFR000FG,红桥,普陀区,棠浦路,棠浦路,梁桥
117,190307,121.407653,31.239889,BZAFR0021J,枫桥,普陀区,枫桥路,枫桥路,梁桥
118,190307,121.408197,31.238021,BZAFR0021H,兰溪路东桥,普陀区,兰溪路,兰溪路,梁桥
119,190307,121.436538,31.12899,B0FFI2QNTX,老沪闵路三号桥,徐汇区,老沪闵路三号桥,老沪闵路,梁桥
120,190307,121.428011,31.164949,BZAFR0021Y,习勤路桥,徐汇区,习勤路,习勤路,梁桥
121,190307,121.413459,31.223099,B0FFF9R3ZO,凯旋路桥,长宁区,凯旋路桥,凯旋路,梁桥
122,190307,121.425542,31.180878,B0FFGQ942M,宜山路桥,徐汇区,宜山路,宜山路,梁桥
123,190307,121.431341,31.163456,BZAER0014T,供水桥,徐汇区,冠生园路,冠生园路,梁桥
124,190307,121.431425,31.165566,BZAFR0021Z,康健路桥,徐汇区,康健路,康健路,梁桥
125,190307,121.431029,31.168259,B0FFGQ6TDB,漕宝路一号桥,徐汇区,漕宝路一号桥,漕宝路,梁桥
126,190307,121.430828,31.174349,BZAFR00221,浦汇塘桥,徐汇区,田林东路,田林东路,梁桥
127,190307,121.411057,31.251602,BZAGR002BL,梨园桥,普陀区,真华南路,真华南路,梁桥
128,190307,121.405545,31.273428,BZAGR001ST,横港桥,普陀区,真金路,真金路,梁桥
131,190307,121.443984,31.129725,B0FFF9R4ER,长华路长桥,徐汇区,长华路,长华路,梁桥
133,190307,121.398078,31.310066,B0FFGQ7TTX,南陈路二号桥,宝山区,南陈路,南陈路,梁桥
134,190307,121.399522,31.305024,B0FFGQ4OTB,小石桥,宝山区,兆南路,兆南路,梁桥
135,190307,121.41539,31.246584,BZAFR0021L,石泉路桥,普陀区,石泉路,石泉路,梁桥
136,190307,121.415208,31.247772,B0FFGQ6U2B,中宁路桥,普陀区,中宁路桥,中宁路,梁桥
137,190307,121.410603,31.265859,B0FFGQ5CN3,富平路桥,普陀区,富平路桥,富平路,梁桥
139,190307,121.410642,31.270098,B00155P27P,大场浦桥,普陀区,富水路,富水路,梁桥
140,190307,121.412245,31.267544,B0FFGQ5KDL,新村路桥,普陀区,新村路桥,新村路,梁桥
141,190307,121.438647,31.16581,BZAFR00220,三江路桥,徐汇区,三江路桥,三江路,梁桥
143,190307,121.423999,31.228723,B0FFF9R3JE,曹杨路桥,普陀区,曹杨路桥,江苏北路,梁桥
144,190307,121.448422,31.134326,B0FFGQ5WMD,罗秀路桥,徐汇区,罗秀路桥,罗秀路,梁桥
145,190307,121.447618,31.138311,BZAER00150,平福路桥,徐汇区,平福路,平福路,梁桥
146,190307,121.42127,31.247745,BZAFR0021K,兰田路真如港桥,普陀区,兰田路,兰田路,梁桥
147,190307,121.426204,31.236326,B0FFF9R3JF,武宁路桥,普陀区,武宁路桥,武宁路,梁桥
148,190307,121.450789,31.142082,B0FFGQ8VZD,港口桥,徐汇区,龙吴路,龙吴路,梁桥
149,190307,121.444926,31.167206,B0FFGQB62N,龙水西桥,徐汇区,凯旋南路,凯旋南路,梁桥
150,190307,121.455065,31.1299,B0FFGQ7156,龙浦桥,徐汇区,龙浦桥,龙吴路,梁桥
152,190307,121.401999,31.33801,B0IA3KAP7S,塘桥,宝山区,沪太路,沪太路,梁桥
154,190307,121.41108,31.305696,B0FFGQ9HU5,场联路,宝山区,场联路,场联路,梁桥
155,190307,121.452084,31.147526,B0FFGQAE2Q,喜泰路宏文桥,徐汇区,喜泰路宏文桥,喜泰路,梁桥
158,190307,121.454493,31.143209,B0FFI2QOG7,春申港桥,徐汇区,龙腾大道,龙腾大道,梁桥
159,190307,121.412828,31.307056,BZAGR0019Y,沪太路八字桥,宝山区,沪太路,沪太路,梁桥
160,190307,121.41402,31.307565,BZAGR001QJ,北弄桥,宝山区,沪太路,沪太路,梁桥
161,190307,121.45953,31.130801,B0FFIW49JT,淀浦河桥,徐汇区,龙腾大道,龙腾大道,梁桥
